sequenceID	record_ID	organism	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	virus_species	virus_order	virus_family	virus_genus	virus_type
71883.Dicerorhinus_sumatrensis_sumatrensis.N	71883	Dicerorhinus_sumatrensis_sumatrensis	low_coverage	ASM284483v1	GCA_002844835.1_ASM284483v1_genomic.fna	ORF	PEKH010006364.1	233363	234262	900	Canary-bornavirus-3	N	+	72	23.913	4.47	14	16	323	1	900	322	9	209	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
73614.Trichechus_manatus.N	73614	Trichechus_manatus	complete	goldenpath_triMan1	triMan1.fa_3.fa	ORF	JH594654	10677027	10677551	525	Canary-bornavirus-3	N	-	70.9	28.022	9.75	15	45	221	1	525	182	3	119	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
68075.Pan_troglodytes.N	68075	Pan_troglodytes	complete	goldenpath_panTro4	panTro4.fa	ORF	chr10	76391763	76392686	924	Canary-bornavirus-3	N	-	67.4	23.708	1.49	12	6	331	1	924	329	7	227	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
128262.Ceratotherium_simum_cottoni.N	128262	Ceratotherium_simum_cottoni	low_coverage	CerCot_v1_BIUU	GCA_004027795.1_CerCot_v1_BIUU_genomic.fna	ORF	PVLE01004873.1	39782	40360	579	Canary-bornavirus-3	N	-	67	27.551	3.79	13	128	323	1	579	196	2	139	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
36.Ceratotherium_simum.N	36	Ceratotherium_simum	low_coverage	goldenpath_cerSim1	cerSim1.fa	ORF	JH767747	24906119	24906727	609	Canary-bornavirus-3	N	+	65.9	27.551	1.38	12	128	323	31	609	196	2	139	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
127940.Heterohyrax_brucei.N	127940	Heterohyrax_brucei	low_coverage	HetBruBak_v1_BIUU	GCA_004026845.1_HetBruBak_v1_BIUU_genomic.fna	ORF	PVJQ01005531.1	16446	16745	300	Canary-bornavirus-3	N	+	63.5	32.292	4.31	13	210	305	13	300	96	0	65	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
128263.Diceros_bicornis.N	128263	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	ORF	PVJY010018342.1	3908	4615	708	Canary-bornavirus-3	N	+	62.4	25.311	3.05	11	128	366	1	708	241	3	173	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
3541.Homo_sapiens.N	3541	Homo_sapiens	complete	goldenpath_hg19_2009	chr10.fa	ORF	chr10	79542206	79543129	924	Canary-bornavirus-3	N	-	61.6	23.404	1.95	10	6	331	1	924	329	7	228	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
211015.Homo_sapiens.N	211015	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr10.fa	ORF	chr10	77782448	77783371	924	Canary-bornavirus-3	N	-	61.6	23.404	1.31	10	6	331	1	924	329	7	228	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
211017.Homo_sapiens.N	211017	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr10_KI270825v1_alt.fa	ORF	chr10_KI270825v1_alt	21140	22063	924	Canary-bornavirus-3	N	-	61.6	23.404	1.31	10	6	331	1	924	329	7	228	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
87.Galeopterus_variegatus.N	87	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	ORF	KL153362.1	8494	9384	891	Canary-bornavirus-3	N	-	60.8	26.415	3.23	10	14	317	1	891	318	9	199	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
176.Orycteropus_afer.N	176	Orycteropus_afer	low_coverage	broad_v0_2012	O_afer_v0.assembly.fa	ORF	scaffold00031	3688137	3688826	690	Canary-bornavirus-3	N	+	60.5	34.545	1.62	10	128	232	67	372	110	3	59	Canary-bornavirus-3	Mononegavirales	Bornaviridae	Orthobornavirus	Exogenous
67521.Pan_troglodytes.G	67521	Pan_troglodytes	complete	goldenpath_panTro4	panTro4.fa	ORF	chr1	45858679	45859080	402	Catarrhini-EBLG-1	G	-	275	100	4.02	97	1	134	1	402	134	0	0	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67482.Homo_sapiens.G	67482	Homo_sapiens	complete	goldenpath_hg19_2009	chr1.fa	ORF	chr1	45969371	45969664	294	Catarrhini-EBLG-1	G	-	198	96.939	1.42	67	31	128	1	294	98	0	3	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
211062.Homo_sapiens.G	211062	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr1.fa	ORF	chr1	45503699	45503992	294	Catarrhini-EBLG-1	G	-	198	96.939	1.43	67	31	128	1	294	98	0	3	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67534.Rhinopithecus_bieti.G	67534	Rhinopithecus_bieti	low_coverage	ASM169854v1	GCF_001698545.1_ASM169854v1_genomic.fna	ORF	NW_016807423.1	1429436	1429837	402	Catarrhini-EBLG-1	G	+	188	87.5	6.56	63	31	134	91	402	104	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67484.Macaca_nemestrina.G	67484	Macaca_nemestrina	low_coverage	Mnem_1.0	mne_ref_Mnem_1.0_chrUn.fa	ORF	gi|778157046|ref|NW_012011688.1|	25571113	25571508	396	Catarrhini-EBLG-1	G	-	187	88.462	1.47	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67483.Macaca_mulatta.G	67483	Macaca_mulatta	low_coverage	goldenpath_rheMac3	rheMac3.fa_1.fa	ORF	chr1	48817071	48817466	396	Catarrhini-EBLG-1	G	-	187	88.462	1.47	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67522.Papio_anubis.G	67522	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_1.fa	ORF	chr1	47747314	47747709	396	Catarrhini-EBLG-1	G	-	187	88.462	1.44	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
74135.Macaca_fuscata.G	74135	Macaca_fuscata	low_coverage	GCA_003118495	GCA_003118495.1_macFus_1.0_genomic.fna	ORF	BFBW01001625.1	734	1129	396	Catarrhini-EBLG-1	G	+	187	88.462	1.48	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
78120.Theropithecus_gelada.G	78120	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	ORF	NC_037668.1	73412114	73412509	396	Catarrhini-EBLG-1	G	-	187	88.462	1.44	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
171773.Mandrillus_sphinx.G	171773	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	ORF	SRPC01051702.1	1341346	1341741	396	Catarrhini-EBLG-1	G	+	187	88.462	1.38	62	31	134	85	396	104	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67487.Mandrillus_leucophaeus.G	67487	Mandrillus_leucophaeus	low_coverage	Mleu.le_1.0	9568_ref_Mleu.le_1.0_chrUn.fa	ORF	gi|786055980|ref|NW_012107252.1|	5036295	5036690	396	Catarrhini-EBLG-1	G	-	186	87.5	7.87	62	31	134	85	396	104	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
376.Macaca_fascicularis.G	376	Macaca_fascicularis	complete	5	mfa_ref_Macaca_fascicularis_5.0_chr1.fa	ORF	gi|540352258|ref|NC_022272.1|	182019590	182019913	324	Catarrhini-EBLG-1	G	+	183	87.5	3.19	61	31	134	13	324	104	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
127186.Semnopithecus_entellus.G	127186	Semnopithecus_entellus	low_coverage	SemEnt_v1	GCA_004025065.1_SemEnt_v1_BIUU_genomic.fna	ORF	PVII010024698.1	8667	9050	384	Catarrhini-EBLG-1	G	+	180	87.755	7.04	60	31	128	91	384	98	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67535.Rhinopithecus_roxellana.G	67535	Rhinopithecus_roxellana	low_coverage	ncbi_100_2014-11-18	61622_ref_Rrox_v1_chrUn.fa	ORF	gi|723415710|ref|NW_010798746.1|	1523927	1524310	384	Catarrhini-EBLG-1	G	+	179	86.735	2.82	59	31	128	91	384	98	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
128112.Pygathrix_nemaeus.G	128112	Pygathrix_nemaeus	low_coverage	PygNem_v1_BIUU	GCA_004024825.1_PygNem_v1_BIUU_genomic.fna	ORF	PVHW010029044.1	5458	5841	384	Catarrhini-EBLG-1	G	-	179	86.735	3.09	59	31	128	91	384	98	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67024.Cercocebus_atys.G	67024	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	ORF	gi|778157533|ref|NW_012001738.1|	1358965	1359342	378	Catarrhini-EBLG-1	G	+	177	87.755	1.06	58	31	128	85	378	98	0	12	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
127183.Erythrocebus_patas.G	127183	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	ORF	PVJV010033014.1	16163	16540	378	Catarrhini-EBLG-1	G	-	176	86.735	4.83	58	31	128	85	378	98	0	13	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
67480.Gorilla_gorilla.G	67480	Gorilla_gorilla	complete	goldenpath_gorGor3	gorGor3.fa	ORF	chr1	47125364	47125579	216	Catarrhini-EBLG-1	G	-	146	95.833	2.88	47	63	134	1	216	72	0	3	Catarrhini-EBLG-1	Mononegavirales	Bornaviridae	EBLG	Endogenous
212370.Chrysochloris_asiatica.N	212370	Chrysochloris_asiatica	low_coverage	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	ORF	scaffold00041	2207612	2208604	993	Chrysochloris-EBLN-1	N	+	679	100	0	1	1	328	7	990	328	0	0	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211951.Zapus_hudsonius.N	211951	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010039853.1	12466	13527	1062	Chrysochloris-EBLN-1	N	-	397	62.013	1.31	138	1	308	139	1062	308	0	117	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211600.Muscardinus_avellanarius.N	211600	Muscardinus_avellanarius	low_coverage	MusAve_v1	GCA_004027005.1_MusAve_v1_BIUU_genomic.fna	ORF	PVJB01042415.1	9044	10057	1014	Chrysochloris-EBLN-1	N	+	361	60.87	8.44	125	1	276	115	936	276	1	106	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211952.Zapus_hudsonius.N	211952	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010005396.1	25203	26024	822	Chrysochloris-EBLN-1	N	+	322	58.394	1.14	110	42	312	7	816	274	2	107	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211956.Zapus_hudsonius.N	211956	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010019904.1	20693	21760	1068	Chrysochloris-EBLN-1	N	-	303	52.848	6.9	102	1	312	139	1062	316	6	137	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128110.Zapus_hudsonius.N	128110	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010008467.1	7490	8269	780	Chrysochloris-EBLN-1	N	+	292	56.569	6.63	99	40	308	1	780	274	3	100	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
127926.Acomys_cahirinus.N	127926	Acomys_cahirinus	low_coverage	AcoCah_v1_BIUU	GCA_004027535.1_AcoCah_v1_BIUU_genomic.fna	ORF	PVKX01020164.1	11900	12936	1037	Chrysochloris-EBLN-1	N	+	283	60.09	9.8	101	1	223	112	777	223	1	88	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
79345.Mus_spicilegus.N	79345	Mus_spicilegus	low_coverage	GCA_003336285.1_MUSP714	GCA_003336285.1_MUSP714_genomic.fna	ORF	QGOO01037529.1	5291216	5291998	783	Chrysochloris-EBLN-1	N	+	259	55.932	4.44	86	12	246	55	732	236	3	93	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211957.Zapus_hudsonius.N	211957	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010009017.1	42095	43187	1093	Chrysochloris-EBLN-1	N	+	253	56.967	2.13	92	92	328	371	1078	244	6	90	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211953.Zapus_hudsonius.N	211953	Zapus_hudsonius	low_coverage	ZapHud_v1_BIUU	GCA_004024765.1_ZapHud_v1_BIUU_genomic.fna	ORF	PVHP010007073.1	36079	37090	1012	Chrysochloris-EBLN-1	N	-	250	58.852	2.56	81	129	328	341	961	209	3	75	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128078.Crocidura_indochinensis.N	128078	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	ORF	PVKC010186511.1	1490	2257	768	Chrysochloris-EBLN-1	N	-	245	52.713	1.72	80	73	328	10	762	258	3	113	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
69084.Mus_musculus.N	69084	Mus_musculus	complete	goldenpath_mm9	chr11.fa	ORF	chr11	103490213	103490965	753	Chrysochloris-EBLN-1	N	-	236	48.148	4.81	77	12	246	7	702	243	2	107	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
73560.Mus_castaneus.N	73560	Mus_castaneus	low_coverage	REL-1509-EiJ	CAST_EiJ.chromosomes.unplaced.gt2k.fa	ORF	chr11	106576249	106577204	956	Chrysochloris-EBLN-1	N	-	229	47.325	2.07	78	12	246	46	741	243	2	109	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211805.Rattus_norvegicus.N	211805	Rattus_norvegicus	complete	goldenpath_rn6	rn6.fa_1.fa	ORF	chr10	91691845	91692863	1019	Chrysochloris-EBLN-1	N	-	224	58.659	9.21	95	150	328	438	974	179	0	74	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
67951.Condylura_cristata.N	67951	Condylura_cristata	low_coverage	broad_ConCri1.0	C_cristata_v1.contigs.fa	ORF	contig005318	10584	11165	582	Chrysochloris-EBLN-1	N	-	221	59.278	3.85	72	1	194	1	582	194	0	79	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68036.Mus_pahari.N	68036	Mus_pahari	low_coverage	REL-1509-EiJ	Pahari_EiJ.chromosomes.unplaced.gt2k.fa	ORF	chr2	104965122	104966193	1072	Chrysochloris-EBLN-1	N	+	202	45.247	3.83	64	66	328	311	1069	263	4	134	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68035.Mus_pahari.N	68035	Mus_pahari	low_coverage	REL-1509-EiJ	Pahari_EiJ.chromosomes.unplaced.gt2k.fa	ORF	chr14	71030462	71031160	699	Chrysochloris-EBLN-1	N	-	201	47.917	1.02	63	12	247	7	699	240	4	112	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128741.Grammomys_surdaster.N	128741	Grammomys_surdaster	low_coverage	NIH_TR_1.0	GCF_004785775.1_NIH_TR_1.0_genomic.fna	ORF	NW_021604684.1	4281750	4282616	867	Chrysochloris-EBLN-1	N	-	198	43.704	7.52	62	12	270	10	771	270	6	125	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128745.Graphiurus_murinus.N	128745	Graphiurus_murinus	low_coverage	GraMur_v1_BIUU	GCF_004785775.1_NIH_TR_1.0_genomic.fna	ORF	NW_021604684.1	4281750	4282616	867	Chrysochloris-EBLN-1	N	-	198	43.704	7.52	62	12	270	10	771	270	6	125	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68021.Mus_caroli.N	68021	Mus_caroli	low_coverage	REL-1509_EiJ	CAROLI_EiJ.chromosomes.unplaced.gt2k.fa	ORF	chr11	99601087	99601790	704	Chrysochloris-EBLN-1	N	-	194	62.838	1.57	71	100	246	264	704	148	2	53	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68041.Mus_spretus.N	68041	Mus_spretus	low_coverage	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	ORF	CM004105.1	105458894	105459857	964	Chrysochloris-EBLN-1	N	-	184	61.486	4.7	89	100	246	291	728	148	3	54	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
147.Mus_musculus.N	147	Mus_musculus	complete	goldenpath_mm10	chr6.fa	ORF	chr6	87944234	87944716	483	Chrysochloris-EBLN-1	N	+	171	51.875	4.95	53	12	171	7	483	160	1	76	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128742.Grammomys_surdaster.N	128742	Grammomys_surdaster	low_coverage	NIH_TR_1.0	GCF_004785775.1_NIH_TR_1.0_genomic.fna	ORF	NW_021604658.1	10360193	10360927	735	Chrysochloris-EBLN-1	N	+	171	43.548	8.32	52	82	327	4	717	248	6	128	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
128746.Graphiurus_murinus.N	128746	Graphiurus_murinus	low_coverage	GraMur_v1_BIUU	GCF_004785775.1_NIH_TR_1.0_genomic.fna	ORF	NW_021604658.1	10360193	10360927	735	Chrysochloris-EBLN-1	N	+	171	43.548	8.32	52	82	327	4	717	248	6	128	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68105.Rattus_norvegicus.N	68105	Rattus_norvegicus	complete	goldenpath_rn6	rn6.fa_3.fa	ORF	chr18	62762396	62763273	878	Chrysochloris-EBLN-1	N	+	170	49.231	2.74	59	65	256	309	878	195	4	91	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
68106.Rattus_norvegicus.N	68106	Rattus_norvegicus	complete	goldenpath_rn6	rn6.fa_3.fa	ORF	chr18	60886506	60887383	878	Chrysochloris-EBLN-1	N	+	170	49.231	2.74	59	65	256	309	878	195	4	91	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
79346.Mus_spicilegus.N	79346	Mus_spicilegus	low_coverage	GCA_003336285.1_MUSP714	GCA_003336285.1_MUSP714_genomic.fna	ORF	QGOO01037345.1	1214016	1214864	849	Chrysochloris-EBLN-1	N	-	170	54.967	1.9	66	12	162	7	456	151	1	67	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
127927.Acomys_cahirinus.N	127927	Acomys_cahirinus	low_coverage	AcoCah_v1_BIUU	GCA_004027535.1_AcoCah_v1_BIUU_genomic.fna	ORF	PVKX01005022.1	23659	24692	1034	Chrysochloris-EBLN-1	N	-	168	38.889	2.49	49	38	328	144	1028	306	8	161	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
67950.Condylura_cristata.N	67950	Condylura_cristata	low_coverage	broad_ConCri1.0	C_cristata_v1.contigs.fa	ORF	contig039019	5425	6376	952	Chrysochloris-EBLN-1	N	+	167	56.977	7.21	54	76	247	267	764	172	2	68	Chrysochloris-EBLN-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
