name,host,acc,start,end,eval,qstart,qend,strand,cit,lineage
EBLN-Orthobornavirus.1-PonAbe,Pongo_abelii,NC_036913.1,22362049,22363056,4.17E-79,42,411,-,,EBLN7
EBLN-Orthobornavirus.1-PonAbe,Pongo_abelii,NW_019937229.1,17252817,17253824,4.17E-79,42,411,+,,EBLN7
EBLN-Orthobornavirus.1-RhiBie,Rhinopithecus_bieti,NW_016804262.1,1545348,1546355,1.53E-74,42,410,+,,EBLN7
EBLN-Orthobornavirus.1-RhiRox,Rhinopithecus_roxellana,NW_010806668.1,1525680,1526687,4.43E-75,42,410,+,,EBLN7
EBLN-Orthobornavirus.1-SaiBol,Saimiri_boliviensis_boliviensis,NW_003943643.1,13957045,13957633,5.79E-30,147,346,-,,EBLN7
EBLN-Orthobornavirus.1-TheGel,Theropithecus_gelada,NC_037677.1,27646555,27647564,2.06E-34,42,412,+,,EBLN7
EBLN-Orthobornavirus.1-TheGel,Theropithecus_gelada,NW_020251513.1,27646555,27647564,2.06E-34,42,412,+,,EBLN7
EBLN-Orthobornavirus.2-AotNan,Aotus_nancymaae,NW_018508315.1,571104,571953,5.66E-44,42,355,-,,EBLN6
EBLN-Orthobornavirus.2-CalJac,Callithrix_jacchus,NC_013910.1,49481958,49483280,2.64E-19,18,393,+,,EBLN6
EBLN-Orthobornavirus.2-CalJac,Callithrix_jacchus,NW_003184444.1,766942,768264,2.82E-19,18,393,+,,EBLN6
EBLN-Orthobornavirus.2-CebCap,Cebus_capucinus_imitator,NW_016107467.1,1745673,1746611,1.07E-48,42,393,+,,EBLN6
EBLN-Orthobornavirus.2-CerAty,Cercocebus_atys,NW_012009469.1,21086012,21086953,1.01E-44,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-ChlSab,Chlorocebus_sabaeus,NC_023663.1,34002500,34003392,4.00E-57,42,356,+,,EBLN6
EBLN-Orthobornavirus.2-ChlSab,Chlorocebus_sabaeus,NW_006735272.1,33002500,33003392,4.00E-57,42,356,+,,EBLN6
EBLN-Orthobornavirus.2-ColAng,Colobus_angolensis_palliatus,NW_012114711.1,1116676,1117616,2.10E-55,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-GorGor,Gorilla_gorilla_gorilla,NC_018427.2,74245098,74246106,1.03E-41,19,394,+,,EBLN6
EBLN-Orthobornavirus.2-GorGor,Gorilla_gorilla_gorilla,NW_017493682.1,74245098,74246106,1.03E-41,19,394,+,,EBLN6
EBLN-Orthobornavirus.2-HomSap,Homo_sapiens,NC_000003.12,73062268,73063210,5.75E-42,19,356,+,hsEBLN-2,EBLN6
EBLN-Orthobornavirus.2-HomSap,Homo_sapiens,NT_022517.19,73052268,73053210,5.75E-42,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-MacFas,Macaca_fascicularis,NC_022273.1,128691239,128692179,6.33E-58,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-MacFas,Macaca_fascicularis,NW_005092962.1,61972496,61973436,6.35E-58,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-MacMul,Macaca_mulatta,NC_027894.1,68905251,68906191,5.54E-58,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-MacMul,Macaca_mulatta,NW_014804621.1,96659,97599,5.67E-58,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-MacNem,Macaca_nemestrina,NW_012018021.1,3287571,3288511,1.99E-56,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-ManLeu,Mandrillus_leucophaeus,NW_012100432.1,5483752,5484692,1.14E-58,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-NomLeu,Nomascus_leucogenys,NC_019836.1,70421761,70422655,2.53E-50,42,356,-,,EBLN6
EBLN-Orthobornavirus.2-NomLeu,Nomascus_leucogenys,NW_003501407.2,25718985,25719879,2.56E-50,42,356,-,,EBLN6
EBLN-Orthobornavirus.2-PanPan,Pan_paniscus,NC_027871.1,74928553,74929450,1.13E-38,42,356,+,,EBLN6
EBLN-Orthobornavirus.2-PanPan,Pan_paniscus,NW_014013869.1,2542702,2543599,1.13E-38,42,356,-,,EBLN6
EBLN-Orthobornavirus.2-PanTro,Pan_troglodytes,NC_036882.1,73294090,73294988,7.34E-37,42,356,+,,EBLN6
EBLN-Orthobornavirus.2-PanTro,Pan_troglodytes,NW_019932799.1,18407580,18408478,7.34E-37,42,356,-,,EBLN6
EBLN-Orthobornavirus.2-PapAnu,Papio_anubis,NC_018153.2,62567271,62568211,2.06E-59,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-PapAnu,Papio_anubis,NW_018753800.1,88287,89227,2.14E-59,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-PilTep,Piliocolobus_tephrosceles,NW_020555991.1,20150880,20151818,5.07E-53,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-PonAbe,Pongo_abelii,NC_036906.1,68497143,68498084,1.44E-45,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-PonAbe,Pongo_abelii,NW_019937212.1,125158172,125159113,1.44E-45,19,356,+,,EBLN6
EBLN-Orthobornavirus.2-RhiBie,Rhinopithecus_bieti,NW_016810483.1,293557,294447,4.87E-46,44,356,-,,EBLN6
EBLN-Orthobornavirus.2-RhiRox,Rhinopithecus_roxellana,NW_010827689.1,2096876,2097766,4.62E-45,44,356,-,,EBLN6
EBLN-Orthobornavirus.2-SaiBol,Saimiri_boliviensis_boliviensis,NW_003943718.1,2415409,2416353,6.71E-49,42,393,-,,EBLN6
EBLN-Orthobornavirus.2-TheGel,Theropithecus_gelada,NC_037669.1,67102753,67103694,1.44E-51,19,356,-,,EBLN6
EBLN-Orthobornavirus.2-TheGel,Theropithecus_gelada,NW_020251505.1,67102753,67103694,1.44E-51,19,356,-,,EBLN6
EBLN-Orthobornavirus.3-AotNan,Aotus_nancymaae,NW_018497016.1,1395201,1396092,1.48E-43,45,355,-,,EBLN11
EBLN-Orthobornavirus.3-CalJac,Callithrix_jacchus,NC_013896.1,138998181,138998976,2.65E-42,47,330,+,,EBLN11
EBLN-Orthobornavirus.3-CalJac,Callithrix_jacchus,NW_003182984.1,2391780,2392575,2.74E-42,47,330,+,,EBLN11
EBLN-Orthobornavirus.3-CebCap,Cebus_capucinus_imitator,NW_016107464.1,3399101,3399800,6.89E-36,89,330,+,,EBLN11
EBLN-Orthobornavirus.3-CerAty,Cercocebus_atys,NW_012001473.1,6442004,6443010,2.55E-35,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-ChlSab,Chlorocebus_sabaeus,NC_023653.1,43500158,43501079,3.16E-18,45,356,-,,EBLN11
EBLN-Orthobornavirus.3-ChlSab,Chlorocebus_sabaeus,NW_006735256.1,26725022,26725943,3.16E-18,45,356,-,,EBLN11
EBLN-Orthobornavirus.3-ColAng,Colobus_angolensis_palliatus,NW_012114944.1,1425439,1426446,1.03E-39,45,410,+,,EBLN11
EBLN-Orthobornavirus.3-GorGor,Gorilla_gorilla_gorilla,NC_018433.2,12383839,12384796,2.90E-29,19,356,-,,EBLN11
EBLN-Orthobornavirus.3-GorGor,Gorilla_gorilla_gorilla,NW_017493695.1,5591411,5592368,2.90E-29,19,356,-,,EBLN11
EBLN-Orthobornavirus.3-HomSap,Homo_sapiens,NC_000009.12,37086819,37087689,1.04E-30,51,356,+,hsEBLN-3,EBLN11
EBLN-Orthobornavirus.3-HomSap,Homo_sapiens,NT_008413.19,37076819,37077689,1.04E-30,51,356,+,,EBLN11
EBLN-Orthobornavirus.3-MacFas,Macaca_fascicularis,NC_022286.1,41919908,41920914,4.88E-36,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-MacFas,Macaca_fascicularis,NW_005092991.1,27385303,27386309,4.88E-36,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-MacNem,Macaca_nemestrina,NW_012011911.1,15272336,15273342,4.98E-36,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-MacMul,Macaca_mulatta,NC_027907.1,47030046,47031051,1.82E-17,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-MacMul,Macaca_mulatta,NW_014805515.1,1476465,1477470,1.82E-17,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-ManLeu,Mandrillus_leucophaeus,NW_012110130.1,779116,780122,1.02E-34,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-NomLeu,Nomascus_leucogenys,NC_019823.1,80737932,80739001,1.61E-49,19,410,-,,EBLN11
EBLN-Orthobornavirus.3-NomLeu,Nomascus_leucogenys,NW_004087892.1,30251711,30252780,1.63E-49,19,410,-,,EBLN11
EBLN-Orthobornavirus.3-PanPan,Pan_paniscus,NC_027877.1,37725185,37726142,4.16E-31,19,356,+,,EBLN11
EBLN-Orthobornavirus.3-PanTro,Pan_troglodytes,NW_019932828.1,37029663,37030620,4.16E-31,19,356,+,,EBLN11
EBLN-Orthobornavirus.3-PanTro,Pan_troglodytes,NC_036888.1,37029663,37030620,4.16E-31,19,356,+,,EBLN11
EBLN-Orthobornavirus.3-PanPan,Pan_paniscus,NW_014014083.1,3472351,3473308,4.16E-31,19,356,+,,EBLN11
EBLN-Orthobornavirus.3-PapAnu,Papio_anubis,NC_018166.2,39077700,39078700,4.35E-32,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-PapAnu,Papio_anubis,NW_018759012.1,741909,742909,4.58E-32,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-PilTep,Piliocolobus_tephrosceles,NW_020556094.1,3615902,3616910,1.77E-35,45,412,+,,EBLN11
EBLN-Orthobornavirus.3-PonAbe,Pongo_abelii,NC_036912.1,3286409,3287469,1.41E-31,16,410,-,,EBLN11
EBLN-Orthobornavirus.3-PonAbe,Pongo_abelii,NW_019937227.1,3222345,3223405,1.41E-31,16,410,-,,EBLN11
EBLN-Orthobornavirus.3-RhiBie,Rhinopithecus_bieti,NW_016810682.1,35044,36050,1.20E-34,45,410,-,,EBLN11
EBLN-Orthobornavirus.3-RhiRox,Rhinopithecus_roxellana,NW_010810016.1,1121663,1122669,1.83E-34,45,410,+,,EBLN11
EBLN-Orthobornavirus.3-SaiBol,Saimiri_boliviensis_boliviensis,NW_003943726.1,520646,521864,5.45E-27,11,330,+,,EBLN11
EBLN-Orthobornavirus.3-TheGel,Theropithecus_gelada,NW_020257615.1,3478,4373,4.88E-35,45,356,+,,EBLN11
EBLN-Orthobornavirus.4-AotNan,Aotus_nancymaae,NW_018496172.1,512119,512828,4.94E-22,148,407,-,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003185261.1,4614,5258,2.38E-23,150,372,+,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003185878.1,14919,15491,9.07E-22,112,314,+,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003192941.1,7386,7958,7.57E-22,112,314,-,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003187743.1,33213,33683,3.83E-19,150,314,-,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003188252.1,3951,4685,1.01E-26,116,372,+,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003193025.1,6612,7256,2.61E-23,150,372,-,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003196636.1,10160,10477,3.00E-03,98,265,-,,EBLN4
EBLN-Orthobornavirus.4-CalJac,Callithrix_jacchus,NW_003196817.1,1972,2929,1.44E-25,138,372,-,,EBLN4
EBLN-Orthobornavirus.4-CebCap,Cebus_capucinus_imitator,NW_016107779.1,68374,68917,8.77E-10,173,356,-,,EBLN4
EBLN-Orthobornavirus.4-CerAty,Cercocebus_atys,NW_012000250.1,11402098,11402745,5.19E-20,133,356,-,,EBLN4
EBLN-Orthobornavirus.4-ChlSab,Chlorocebus_sabaeus,NW_006735263.1,4051263,4052141,2.15E-23,90,410,+,,EBLN4
EBLN-Orthobornavirus.4-ColAng,Colobus_angolensis_palliatus,NW_012118154.1,312034,312739,6.99E-18,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-GorGor,Gorilla_gorilla_gorilla,NC_018441.2,4507808,4508867,8.19E-12,8,410,+,,EBLN4
EBLN-Orthobornavirus.4-GorGor,Gorilla_gorilla_gorilla,NW_017493708.1,4507808,4508867,8.34E-12,8,410,+,,EBLN4
EBLN-Orthobornavirus.4-HomSap,Homo_sapiens,NC_000017.11,4571066,4572130,3.16E-30,17,407,+,hsEBLN-4,EBLN4
EBLN-Orthobornavirus.4-HomSap,Homo_sapiens,NT_010718.17,4082079,4083143,3.26E-30,17,407,+,,EBLN4
EBLN-Orthobornavirus.4-MacFas,Macaca_fascicularis,NC_022287.1,4588219,4588923,4.31E-25,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-MacFas,Macaca_fascicularis,NW_005092992.1,4588219,4588923,4.31E-25,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-MacMul,Macaca_mulatta,NC_027908.1,4480627,4481286,3.51E-25,133,356,+,,EBLN4
EBLN-Orthobornavirus.4-MacMul,Macaca_mulatta,NW_014805549.1,112443,113102,3.50E-25,133,356,+,,EBLN4
EBLN-Orthobornavirus.4-ManLeu,Mandrillus_leucophaeus,NW_012102166.1,1525047,1525706,2.19E-25,133,356,+,,EBLN4
EBLN-Orthobornavirus.4-NomLeu,Nomascus_leucogenys,NC_019834.1,77158246,77159134,8.89E-18,88,410,-,,EBLN4
EBLN-Orthobornavirus.4-NomLeu,Nomascus_leucogenys,NW_003501397.2,34727935,34728823,9.01E-18,88,410,-,,EBLN4
EBLN-Orthobornavirus.4-PanPan,Pan_paniscus,NC_027885.1,4619120,4620108,9.15E-10,17,362,+,,EBLN4
EBLN-Orthobornavirus.4-PanPan,Pan_paniscus,NW_014014293.1,3962770,3963758,9.85E-10,17,362,-,,EBLN4
EBLN-Orthobornavirus.4-PanTro,Pan_troglodytes,NC_036896.1,4278353,4279341,1.51E-10,17,362,+,,EBLN4
EBLN-Orthobornavirus.4-PanTro,Pan_troglodytes,NW_019932857.1,1546140,1547128,1.59E-10,17,362,+,,EBLN4
EBLN-Orthobornavirus.4-PapAnu,Papio_anubis,NC_018167.2,4262881,4263585,3.90E-22,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-PapAnu,Papio_anubis,NW_018759211.1,154274,154978,3.89E-22,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-PilTep,Piliocolobus_tephrosceles,NW_020557022.1,487804,488565,2.84E-22,42,336,-,,EBLN4
EBLN-Orthobornavirus.4-PonAbe,Pongo_abelii,NC_036920.1,4347838,4348801,3.81E-22,17,356,+,,EBLN4
EBLN-Orthobornavirus.4-PonAbe,Pongo_abelii,NW_019937244.1,11527490,11528453,3.90E-22,17,356,-,,EBLN4
EBLN-Orthobornavirus.4-RhiBie,Rhinopithecus_bieti,NW_016821166.1,166565,167326,5.81E-22,133,407,-,,EBLN4
EBLN-Orthobornavirus.4-RhiRox,Rhinopithecus_roxellana,NW_010825456.1,69906,70667,3.16E-24,133,401,-,,EBLN4
EBLN-Orthobornavirus.4-RhiRox,Rhinopithecus_roxellana,NW_010916568.1,62,823,4.03E-25,133,401,-,,EBLN4
EBLN-Orthobornavirus.4-SaiBol,Saimiri_boliviensis_boliviensis,NW_003943657.1,3183287,3183656,1.14E-05,249,372,-,,EBLN4
EBLN-Orthobornavirus.4-TheGel,Theropithecus_gelada,NC_037684.1,60843526,60844230,1.94E-23,133,372,+,,EBLN4
EBLN-Orthobornavirus.4-TheGel,Theropithecus_gelada,NW_020251520.1,60843526,60844230,1.94E-23,133,372,+,,EBLN4
EBLN-Orthobornavirus.5-GorGor,Gorilla_gorilla_gorilla,NC_018424.2,214846396,214846967,3.09E-05,131,342,-,,EBLN22
EBLN-Orthobornavirus.5-GorGor,Gorilla_gorilla_gorilla,NW_017493678.1,90555798,90556369,3.20E-05,131,342,-,,EBLN22
EBLN-Orthobornavirus.5-HomSap,Homo_sapiens,NC_000001.11,235117644,235118008,3.52E-06,219,346,-,hsEBLN-5,EBLN22
EBLN-Orthobornavirus.5-HomSap,Homo_sapiens,NT_167186.2,11508709,11509073,3.83E-06,219,346,-,,EBLN22
EBLN-Orthobornavirus.5-PanPan,Pan_paniscus,NC_027868.1,215680892,215681475,7.15E-06,131,346,-,,EBLN22
EBLN-Orthobornavirus.5-PanTro,Pan_troglodytes,NW_019932793.1,8178093,8178673,6.12E-06,131,346,+,,EBLN22
EBLN-Orthobornavirus.5-PanPan,Pan_paniscus,NW_014013802.1,6457941,6458524,7.94E-06,131,346,-,,EBLN22
EBLN-Orthobornavirus.5-PanTro,Pan_troglodytes,NC_036879.1,210063558,210064138,5.54E-06,131,346,-,,EBLN22
EBLN-Orthobornavirus.5-PonAbe,Pongo_abelii,NC_036903.1,14264179,14264528,2.06E-06,219,338,+,,EBLN22
EBLN-Orthobornavirus.5-PonAbe,Pongo_abelii,NW_019937203.1,88397595,88397944,2.12E-06,219,338,-,,EBLN22
EBLN-Orthobornavirus.5-ProCoq,Propithecus_coquereli,NW_012152618.1,4090193,4090506,2.00E-03,208,318,+,,EBLN22
EBLN-Cultervirus.6-AotNan,Aotus_nancymaae,NW_018498341.1,540792,541480,4.67E-15,138,354,-,,EBLN16
EBLN-Cultervirus.6-CalJac,Callithrix_jacchus,NC_013906.1,63682522,63683169,1.66E-16,129,354,+,,EBLN16
EBLN-Cultervirus.6-CalJac,Callithrix_jacchus,NW_003184072.1,6213238,6213885,1.66E-16,129,354,+,,EBLN16
EBLN-Cultervirus.6-CebCap,Cebus_capucinus_imitator,NW_016107394.1,4813943,4814713,1.89E-17,129,401,-,,EBLN16
EBLN-Cultervirus.6-CerAty,Cercocebus_atys,NW_012005601.1,8577416,8578045,7.30E-20,192,401,+,,EBLN16
EBLN-Cultervirus.6-ChlSab,Chlorocebus_sabaeus,NC_023642.1,66244280,66245107,1.26E-16,103,401,-,,EBLN16
EBLN-Cultervirus.6-ChlSab,Chlorocebus_sabaeus,NW_006735234.1,5822650,5823477,1.26E-16,103,401,-,,EBLN16
EBLN-Cultervirus.6-ColAng,Colobus_angolensis_palliatus,NW_012115211.1,1472143,1472745,1.69E-09,201,397,+,,EBLN16
EBLN-Cultervirus.6-GorGor,Gorilla_gorilla_gorilla,NC_018435.2,74124769,74125468,7.62E-16,165,401,-,,EBLN16
EBLN-Cultervirus.6-GorGor,Gorilla_gorilla_gorilla,NW_017493699.1,20116382,20117081,7.70E-16,165,401,-,,EBLN16
EBLN-Cultervirus.6-HomSap,Homo_sapiens,NC_000011.10,75011925,75012624,1.36E-14,165,401,-,hsEBLN-6,EBLN16
EBLN-Cultervirus.6-HomSap,Homo_sapiens,NT_167190.2,20486851,20487550,1.40E-14,165,401,-,,EBLN16
EBLN-Cultervirus.6-MacFas,Macaca_fascicularis,NC_022285.1,70305002,70305691,2.03E-19,192,420,-,,EBLN16
EBLN-Cultervirus.6-MacFas,Macaca_fascicularis,NW_005092989.1,6843578,6844267,2.03E-19,192,420,-,,EBLN16
EBLN-Cultervirus.6-MacMul,Macaca_mulatta,NC_027906.1,67142723,67143412,5.09E-20,192,420,-,,EBLN16
EBLN-Cultervirus.6-MacMul,Macaca_mulatta,NW_014805465.1,3036374,3037063,5.09E-20,192,420,-,,EBLN16
EBLN-Cultervirus.6-ManLeu,Mandrillus_leucophaeus,NW_012107297.1,1303176,1303865,2.54E-19,192,420,+,,EBLN16
EBLN-Cultervirus.6-NomLeu,Nomascus_leucogenys,NC_019830.1,62546375,62547187,5.39E-15,138,417,+,,EBLN16
EBLN-Cultervirus.6-NomLeu,Nomascus_leucogenys,NW_003501373.2,15255356,15256168,5.39E-15,138,417,+,,EBLN16
EBLN-Cultervirus.6-PanPan,Pan_paniscus,NC_027879.1,73376583,73377282,1.38E-14,165,401,-,,EBLN16
EBLN-Cultervirus.6-PanPan,Pan_paniscus,NW_014014149.1,1342820,1343519,1.49E-14,165,401,-,,EBLN16
EBLN-Cultervirus.6-PanTro,Pan_troglodytes,NC_036890.1,70774513,70775212,5.25E-14,165,401,-,,EBLN16
EBLN-Cultervirus.6-PanTro,Pan_troglodytes,NW_019932838.1,60007395,60008094,5.30E-14,165,401,+,,EBLN16
EBLN-Cultervirus.6-PapAnu,Papio_anubis,NC_018165.2,65188194,65188883,1.19E-18,192,420,-,,EBLN16
EBLN-Cultervirus.6-PapAnu,Papio_anubis,NW_018758740.1,219364,220053,1.19E-18,192,420,-,,EBLN16
EBLN-Cultervirus.6-PilTep,Piliocolobus_tephrosceles,NW_020556228.1,5078128,5078754,1.04E-11,192,397,-,,EBLN16
EBLN-Cultervirus.6-RhiBie,Rhinopithecus_bieti,NW_016808027.1,727877,728410,1.94E-13,192,368,+,,EBLN16
EBLN-Cultervirus.6-RhiRox,Rhinopithecus_roxellana,NW_010805899.1,2243309,2243938,3.85E-15,192,401,+,,EBLN16
EBLN-Cultervirus.6-SaiBol,Saimiri_boliviensis_boliviensis,NW_003943612.1,5468317,5468943,1.78E-11,129,354,-,,EBLN16
EBLN-Cultervirus.6-TheGel,Theropithecus_gelada,NC_037682.1,66964831,66965520,1.81E-18,192,420,-,,EBLN16
EBLN-Cultervirus.6-TheGel,Theropithecus_gelada,NW_020251518.1,66964831,66965520,1.81E-18,192,420,-,,EBLN16
EBLN-Cultervirus.7-AotNan,Aotus_nancymaae,NW_018513506.1,268783,269568,3.91E-25,122,397,+,,EBLN10
EBLN-Cultervirus.7-CalJac,Callithrix_jacchus,NC_013907.1,81451285,81451887,2.47E-22,122,335,-,,EBLN10
EBLN-Cultervirus.7-CalJac,Callithrix_jacchus,NW_003184243.1,965797,966399,2.47E-22,122,335,-,,EBLN10
EBLN-Cultervirus.7-CebCap,Cebus_capucinus_imitator,NW_016107545.1,551133,551719,3.81E-19,157,351,-,,EBLN10
EBLN-Cultervirus.7-CerAty,Cercocebus_atys,NW_012000472.1,468346,468906,6.72E-11,157,342,+,,EBLN10
EBLN-Cultervirus.7-ChlSab,Chlorocebus_sabaeus,NC_023650.1,87770103,87770663,7.77E-10,157,342,-,,EBLN10
EBLN-Cultervirus.7-ChlSab,Chlorocebus_sabaeus,NW_006735250.1,50929077,50929637,7.77E-10,157,342,-,,EBLN10
EBLN-Cultervirus.7-ColAng,Colobus_angolensis_palliatus,NW_012114422.1,131854,132414,1.91E-08,157,342,+,,EBLN10
EBLN-Cultervirus.7-GorGor,Gorilla_gorilla_gorilla,NC_018434.2,108978155,108978595,4.38E-13,250,397,-,,EBLN10
EBLN-Cultervirus.7-GorGor,Gorilla_gorilla_gorilla,NW_017493697.1,26965597,26966037,4.38E-13,250,397,-,,EBLN10
EBLN-Cultervirus.7-HomSap,Homo_sapiens,NC_000010.11,94534337,94534669,1.13E-09,250,361,-,hsEBLN-7,EBLN10
EBLN-Cultervirus.7-HomSap,Homo_sapiens,NT_030059.14,52840816,52841148,1.13E-09,250,361,-,,EBLN10
EBLN-Cultervirus.7-MacFas,Macaca_fascicularis,NC_022280.1,93095997,93096557,4.25E-11,157,342,-,,EBLN10
EBLN-Cultervirus.7-MacFas,Macaca_fascicularis,NW_005092977.1,52087728,52088288,4.25E-11,157,342,-,,EBLN10
EBLN-Cultervirus.7-MacMul,Macaca_mulatta,NC_027901.1,89764047,89764607,1.22E-10,157,342,-,,EBLN10
EBLN-Cultervirus.7-MacMul,Macaca_mulatta,NW_014805192.1,250390,250950,1.21E-10,157,342,-,,EBLN10
EBLN-Cultervirus.7-MacNem,Macaca_nemestrina,NW_012010745.1,556259,556819,1.48E-10,157,342,+,,EBLN10
EBLN-Cultervirus.7-ManLeu,Mandrillus_leucophaeus,NW_012103488.1,232903,233463,6.37E-11,157,342,+,,EBLN10
EBLN-Cultervirus.7-NomLeu,Nomascus_leucogenys,NC_019818.1,39749068,39749508,1.78E-12,250,397,+,,EBLN10
EBLN-Cultervirus.7-NomLeu,Nomascus_leucogenys,NW_004087881.1,39748068,39748508,1.78E-12,250,397,+,,EBLN10
